"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"47";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"397";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";3842;"N"
"48";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"398";"13";"15444";"250000020795";"ROGERIO COELHO GRAFT";"ROGERIO GRAFT";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";2923;"N"
"49";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"403";"13";"45780";"250000004984";"FABIO RIVA DOS SANTOS";"FABIO RIVA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"45";"PSDB";"Partido da Social Democracia Brasileira";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";5621;"N"
"50";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"404";"13";"13800";"250000022100";"SENIVAL PEREIRA DE MOURA";"SENIVAL MOURA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";7185;"N"
"51";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"405";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4035;"N"
"52";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"408";"13";"25100";"250000011020";"JOÃO CARLOS CAMISA NOVA";"JONAS CAMISA NOVA";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"25";"DEM";"Democratas";"250000000274";"PSDB/PSB/PP/DEM";"PSDB / PSB / PP / DEM";7410;"N"
"53";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"413";"13";"15622";"250000020779";"GEORGE VATUTIN HATO";"GEORGE HATO";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"3";"ELEITO POR MÉDIA";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";4988;"N"
"54";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"417";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4113;"N"
"55";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"418";"13";"50002";"250000014883";"SIDNEY LUIZ DA CRUZ";"DR. SIDNEY CRUZ";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"50";"PSOL";"Partido Socialismo e Liberdade";"250000000904";"OS SONHOS PODEM GOVERNAR";"PSOL / PCB";6523;"N"
"56";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"420";"13";"12012";"250000022154";"WADIH JORGE MUTRAN";"WADIH MUTRAN";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"5";"SUPLENTE";"12";"PDT";"Partido Democrático Trabalhista";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4649;"N"
"57";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"421";"13";"55123";"250000020825";"EDIR SALES";"EDIR SALES";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"55";"PSD";"Partido Social Democrático";"250000001252";"UNIÃO POR SÃO PAULO";"PMDB / PSD";4548;"N"
"58";"02/04/2018";"20:41:22";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"422";"13";"13131";"250000022081";"EDUARDO MATARAZZO SUPLICY";"EDUARDO SUPLICY";"VEREADOR";"12";"APTO";"2";"DEFERIDO";"2";"ELEITO POR QP";"13";"PT";"Partido dos Trabalhadores";"250000001322";"PT, PDT, PR E PROS";"PT / PDT / PR / PROS";4591;"N"
